state,type,name,addr,city,phone,web,days,offer
Colorado,farm,Cure Organic Farm,7416 Valmont Rd,Boulder,(303) 442-7696,cureorganicfarm.com,Farm stand Sat 8am–1pm (May–Nov),Certified organic · CSA · farm store · Boulder County since 1999
Colorado,market,Boulder Certified Farmers Market,13th St & Canyon Blvd,Boulder,(303) 910-2236,bcfm.org,Wed 4–8pm · Sat 8am–2pm (Apr–Nov),Colorado's top organic market · 150+ farmers · Pearl St adjacent · live music
Colorado,market,Denver Farmers Market Cherry Creek,1st Ave & University Blvd,Denver,(303) 442-1837,denverfarmersmarket.com,Sat 7am–1pm · Wed 7am–1pm (May–Oct),Denver's largest market · organic produce · 200+ vendors · Cherry Creek
Colorado,market,Fort Collins Farmers Market,Oak St & College Ave,Fort Collins,,fcfm.org,Sat 8am–12pm (May–Oct),Northern Colorado · organic produce · 100+ vendors · Old Town Fort Collins
Colorado,upick,Ela Family Farms,28560 Hwy 65,Eckert,(970) 527-3480,elafamilyfarms.com,Farm stand and u-pick seasonal,Certified organic since 1992 · apples · pears · cherries · u-pick · Western Slope CO
Colorado,market,Colorado Farm and Art Market,7350 Pine Creek Road,Colorado Springs,,,,USDA certified farmers market
Colorado,market,Basalt Sunday Market,101 Midland Avenue,Basalt,,,,USDA certified farmers market
Colorado,market,Alamosa Farmers Market,Corner of 6th Street and State Avenue's Parking Lot,Alamosa,,,,USDA certified farmers market
Colorado,market,City of Loveland Farmers Market,700 S. Railroad,Loveland,,,,USDA certified farmers market
Colorado,market,Minturn Market,Historic Downtown Minturn,Minturn,,,,USDA certified farmers market
Colorado,market,Greeley Farmers Market,902 7th Ave.,Greeley,,,,USDA certified farmers market
Colorado,market,Larimer County Farmers' Market,200 W. Oak St.,Fort Collins,,,,USDA certified farmers market
Colorado,market,Southwest Plaza Farmers Market,Wadsworth and Bowles,Littleton,,,,USDA certified farmers market
Colorado,market,Highlands Ranch Farmers Market,Highlands Ranch Pkwy and Dorchester Rd,Highlands Ranch,,,,USDA certified farmers market
Colorado,market,Backyard Market in Black Forest,12530 Black Forest Rd,Colorado Springs,,,,USDA certified farmers market
Colorado,market,Backyard Market in Black Forest - Winter,6845 Shoup Road,Colorado Springs,,,,USDA certified farmers market
Colorado,market,Backyard Market in Black Forest - Holiday,13710 Black Forest Road,Colorado Springs,,,,USDA certified farmers market
Colorado,market,Nederland Farmers Market,80 E. Second St.,Nederland,,,,USDA certified farmers market
Colorado,market,Durango Farmers Market,259 W 9th Street,Durango,,,,"The Durango Farmers Market is a growers market, meaning all vendors who attend the market grew or ra"
Colorado,market,Aspen Farmers' Market,E. Hopkins Ave. and S. Galena St.,Aspen,,,,USDA certified farmers market
Colorado,market,Landmark Greenwood Village Fresh Market,7600 Landmark Way,Greenwood Village,,,,USDA certified farmers market
Colorado,market,Alameda Mile High Farmer's Market,,13655 E Alameda Ave Aurora,,,,USDA certified farmers market
Colorado,market,Arvada Farmers Market,"Arvada Farmers Market, 57th & Old Wadsworth",Arvada,,,,USDA certified farmers market
Colorado,market,Arvada Five Parks Farmers Market,,13810 W. 85th Dr. Arvada CO 80005 Arvada,,,,USDA certified farmers market
Colorado,market,Aspen Grove Lifestyle Center Farmers' Market,7301 S. Santa Fe.,Littleton,,,,USDA certified farmers market
Colorado,market,Aspen Saturday Market,,E. Hopkins & S. Hunter Streets Aspen,,,,USDA certified farmers market
Colorado,market,Aurora South Farmers Market II,,15324 East Hampden Circle Aurora,,,,USDA certified farmers market
Colorado,market,Bennett Community Market,401 S. 1st St.,Bennett,,,,USDA certified farmers market
Colorado,market,Berthoud Farmers' Market,"1201 Lake Ave.,Behind Adams Bank and Trust",Berthoud,,,,USDA certified farmers market
Colorado,market,Black Forest Farmers Market,,10915 Black Forest Road Black Forest,,,,USDA certified farmers market
Colorado,market,Boulder County Farmers' Market,,13th & Canyon Boulder,,,,USDA certified farmers market
Colorado,market,Boulter's 5280 Urban Market,,560 Castle Pines Pkwy Englewood pkwy and Cherokee St. Is our second market Castle Pines,,,,USDA certified farmers market
Colorado,market,Briargate Farmers' Market,,7610 N. Union Colorado Springs,,,,USDA certified farmers market
Colorado,market,Broadway Farmers' Market,,23 Lincoln St. Denver,,,,USDA certified farmers market
Colorado,market,Broomfield Farmers' Market,1700 W. 10th Ave.,Broomfield,,,,USDA certified farmers market
Colorado,market,Buena Vista Farmers' Market,,South Main Town Square 701 Front Loop Buena Vista,,,,USDA certified farmers market
Colorado,market,Carbondale Farmers' Market,"4th & Main St.,4th Street Park and Plaza",Carbondale,,,,USDA certified farmers market
Colorado,market,Castle Rock Farmers Market,,414 Wilcox St Castle Rock,,,,USDA certified farmers market
Colorado,market,Cedaredge Main Street Farmer's Market,,175 E Main St Cedaredge,,,,USDA certified farmers market
Colorado,market,Cherry Creek Fresh Market,"1st Ave. & University Blvd.,Cherry Creek Shopping Center",Denver,,,,USDA certified farmers market
Colorado,market,Cherry Creek Valley International Farmers Market,,710 S. Ash St. Denver,,,,USDA certified farmers market
Colorado,market,City of Edgewater Farmers Market,,2401 Sheridan Blvd. Edgewater,,,,USDA certified farmers market
Colorado,market,City of Rifle Farmer's Market,,1718 Railroad Ave. Rifle,,,,USDA certified farmers market
Colorado,market,City Park Esplanade Fresh Market,,East Colfax Ave. & Columbine Street Denver,,,,USDA certified farmers market
Colorado,market,Conejos County Farmers' Market,211 Broadway Ave.,La Jara,,,,USDA certified farmers market
Colorado,market,Cortez Farmers Market,,109 W Main St (On the SE corner of Main and Elm Streets) Cortez,,,,USDA certified farmers market
Colorado,market,Cotopaxi Farmers Market,,20326 US Hwy 50 Cotopaxi,,,,USDA certified farmers market
Colorado,market,"Creede Farmers, Local Artisan and Antique Market",23 Main Street mailing P.O. Box 14,South Fork,,,,USDA certified farmers market
Colorado,market,Crestone Farmers Market,"Crestone Farmers Market, West Silver Avenue",Crestone,,,,USDA certified farmers market
Colorado,market,Downtown Farmers' Market Festival,,Main St. Grand Junction,,,,USDA certified farmers market
Colorado,market,Downtown Grand Junction Farmers' Market,"Main St. and 3rd St.,to 7th St.",Grand Junction,,,,USDA certified farmers market
Colorado,market,Downtown Mead Farmers' Market,,P.O. Box 55 Mead,,,,USDA certified farmers market
Colorado,market,Downtown Sunday Market,,115 E. Platte Ave.,,,,USDA certified farmers market
Colorado,market,Drake Road Farmers Market,,802 W. Drake Fort Collins,,,,USDA certified farmers market
Colorado,market,Eagle Farmers Market,,275 N Main Street Garnet Bldg U201 Edwards,,,,USDA certified farmers market
Colorado,market,Edwards Corner Farmers' Market,56 Edwards Village Blvd.,Edwards,,,,USDA certified farmers market
Colorado,market,Erie Farmers Market,,515 Briggs St Erie,,,,USDA certified farmers market
Colorado,market,Estes Park Farmers Market,,2200 Mall Road Estes Park,,,,USDA certified farmers market
Colorado,market,Estes Valley Farmers Market,1209 Manford Ave,The Stanley Fairgrounds Estes Park,,,,USDA certified farmers market
Colorado,market,Evergreen Farmers Market,1240 Bergen Pkwy.,Evergreen,,,,USDA certified farmers market
Colorado,market,Farm and Ranch Market,"28th and North Ave.,Teller Arms Shopping Center",Grand Junction,,,,USDA certified farmers market
Colorado,market,Farmers' Market at Highlands Square,3489 W. 32nd Ave.,Denver,,,,USDA certified farmers market
Colorado,market,Feed Denver: Urban Farms & Markets,,2139 W. 44th Avenue Denver,,,,USDA certified farmers market
Colorado,market,Florence Farmers' Market,N. Pikes Peak Ave. and E. 3rd St.,Florence,,,,USDA certified farmers market
Colorado,market,Fort Collins Farmers' Market,"Harmony & Lemay,Harmony Market Place",Fort Collins,,,,USDA certified farmers market
Colorado,market,Fort Collins Winter Farmers Market,"Fort Collins Winter Farmers Market, 123 S Colleget Ave",Fort Collins,,,,USDA certified farmers market
Colorado,market,Fort Morgan Farmers' Market,,Corner of Beaver Ave. and State. St. Fort Morgan,,,,USDA certified farmers market
Colorado,market,Fountain Farmers Market,,205 South Fountain Street Fountain,,,,USDA certified farmers market
Colorado,market,Four Seasons Farmers and Artisans Market,,7043 W. 38th Ave. Wheat Ridge,,,,USDA certified farmers market
Colorado,market,Frederick Farmers Market,"Frederick Farmers Market, 105 5th Street",Frederick,,,,USDA certified farmers market
Colorado,market,Frederick Market,,105 5th Street Frederick,,,,USDA certified farmers market
Colorado,market,Fruita Farmers' Market,,325 E. Aspen Ave. Fruita,,,,USDA certified farmers market
Colorado,market,Glenwood Downtown Market,,9th and Grand Glenwood Springs,,,,USDA certified farmers market
Colorado,market,Glenwood Farmers Market,,1412 Grand Ave glenwood Springs,,,,USDA certified farmers market
Colorado,market,Golden Farmers Market,,1019 10th Street Golden,,,,USDA certified farmers market
Colorado,market,Golden Triangle Farmers Market,,1112 Broadway Denver,,,,USDA certified farmers market
Colorado,market,Granby Farmers Market,,475 E. Agate Ave. Granby,,,,USDA certified farmers market
Colorado,market,Greeley Winter Farmers' Market,,1100 8th Avenue Greeley,,,,USDA certified farmers market
Colorado,market,Highland Farmers' Market,1576 Boulder St.,Denver,,,,USDA certified farmers market
Colorado,market,Highland United Neighbors Farmers' Market,,970 S. Pearl Denver,,,,USDA certified farmers market
Colorado,market,Highlands Farmers Market,,1500 Boulder Street Denver,,,,USDA certified farmers market
Colorado,market,Hoffmann Commercial Real Estate Farmers' Market...,182 Avon Rd.,Avon,,,,USDA certified farmers market
Colorado,market,Idaho Springs Chamber Of Commerce Farmers Market,,PO box 1641 Idaho Springs,,,,USDA certified farmers market
Colorado,market,Indian Hills Farmer's Market,,5381 Parmalee Gulch Indian Hills,,,,USDA certified farmers market
Colorado,market,Jax Farmer's Market in Lafayette,,400 W. South Boulder Road Lafayette,,,,USDA certified farmers market
Colorado,market,La Veta Local Market,306 S. Main St.,La Veta,,,,USDA certified farmers market
Colorado,market,Lafayette Farmers Market,,390 S. Public Rd Lafayette,,,,USDA certified farmers market
Colorado,market,Larimer Street Market,,2301 Larimer Street Denver,,,,USDA certified farmers market
Colorado,market,Littleton Farmers' Market,,7301 S. Santa Fe Littleton,,,,USDA certified farmers market
Colorado,market,Local Brands Farm and Ranch Markets Cooperative,,9971 CR 141 Hesperus,,,,USDA certified farmers market
Colorado,market,Lone Tree Farmers' Market,"8585 S. Yosemite St.,Sears Outlet Store parking lot",Lone Tree,,,,USDA certified farmers market
Colorado,market,Louisville Farmers Market,,824 Front Street (corner of Walnut and Front Street at Steinbaugh Pavilion) Louisville,,,,USDA certified farmers market
Colorado,market,Loveland East Farmers Market at Jax,950 E.Eisenhower Blvd,Loveland,,,,USDA certified farmers market
Colorado,market,Loveland Farmers' Market,,3133 N. Garfield Loveland,,,,USDA certified farmers market
Colorado,market,Loveland Green Market,"4229 W. Eisenhower Blvd.,In Rainbow Plaza Event Center",Loveland,,,,USDA certified farmers market
Colorado,market,Lowry Farmers' Market,"7581 E. Academy Blvd.,in the Hangar 2 parking lot,near the front of the Lowry Beer Garden",Denver,,,,USDA certified farmers market
Colorado,market,Lulu's Farm Roadside Market,,13201 E. 144th Ave. Brighton,,,,USDA certified farmers market
Colorado,market,Lusk Farms Farmers Market,"Lusk Farms Farmers Market, 26020 West US Highway 50",La Junta,,,,USDA certified farmers market
Colorado,market,Lyons Outdoor Market,,446 Main Street Lyons,,,,USDA certified farmers market
Colorado,market,Memorial Park Farmers' Market,,1605 E. Pikes Peak Ave.,,,,USDA certified farmers market
Colorado,market,Metro Denver Farmers' Market at Littleton's Aspen Grove,,7301 S. Santa Fe Dr. Littleton,,,,USDA certified farmers market
Colorado,market,Metro Denver Farmers' Market at Wheat Ridge,,4260 Wadsworth Blvd. Wheat Ridge,,,,USDA certified farmers market
Colorado,market,Metro Denver Farmers' Market-Lakewood,,9077 W Alameda Ave Lakewood,,,,USDA certified farmers market
Colorado,market,Metro Denver Farmers' Market-Littleton,,7301 S Santa Fe Dr Littleton,,,,USDA certified farmers market
Colorado,market,Metro Denver Farmers' Market-Wheat Ridge,,4252 Wadsworth Blvd Wheat Ridge,,,,USDA certified farmers market
Colorado,market,Monte Vista Farmers' Market,1st Ave. and Jefferson St.,Monte Vista,,,,USDA certified farmers market
Colorado,market,Montrose Farmers' Market,"S. 1st St. & S. Uncompahgre Ave.,At Centennial Plaza",Montrose,,,,USDA certified farmers market
Colorado,market,Monument Hill Farmers' Market,,146 Jefferson Street Monument,,,,USDA certified farmers market
Colorado,market,Noco Virtual Farmers Market,"3307 South College Avenue, Suite 216 123 North College Ave.",Suite 139 Fort Collins,,,,USDA certified farmers market
Colorado,market,Northern Colorado Winters Market,,PO Box 1545 Fort Collins,,,,USDA certified farmers market
Colorado,market,Northfield Farmers Market,"Northfield Farmers Market, 8340 Northfield Boulevard",Denver,,,,USDA certified farmers market
Colorado,market,Norwood Farm and Craft Market,,1165 Summit Street Norwood,,,,USDA certified farmers market
Colorado,market,Old Colorado City Farmers Market,"Old Colorado City Farmers Market, 2408 West Colorado Avenue",Colorado Springs,,,,USDA certified farmers market
Colorado,market,Old South Pearl Street Association - Farmers Market,,1500 block of South Pearl Street Denver,,,,USDA certified farmers market
Colorado,market,Olde Towne Village Market,,611 Front Street Louisville,,,,USDA certified farmers market
Colorado,market,Pagosa Farmers Market,,2435 Eagle Drive Pagosa Springs,,,,USDA certified farmers market
Colorado,market,Pagosa Springs Farmers Market,,191 E Pagosa Street PAGOSA SPGS,,,,USDA certified farmers market
Colorado,market,Palisade Sunday Farmers' Market,3rd St. & Main St.,Palisade,,,,USDA certified farmers market
Colorado,market,Parker Farmers Market,"Parker Farmers Market, Parker Road & Main Street",Parker,,,,USDA certified farmers market
Colorado,market,Plateau Valley Farmers Market,"Plateau Valley Farmers Market, 2003 High Street",Collbran,,,,USDA certified farmers market
Colorado,market,Pueblo Farmers' Market,"1000 W. 6th St.,Midtown Shopping Center parking lot",Pueblo,,,,USDA certified farmers market
Colorado,market,Ridgway Farmers' Market,,201 N. Railroad St. Ridgway,,,,USDA certified farmers market
Colorado,market,Rifle Farmers' Market,,1718 Railroad Avenue (Metro Park) Rifle,,,,USDA certified farmers market
Colorado,market,Rocky Mountain Indoor Farmers Market,,5816 South College Avenue Fort Collins,,,,USDA certified farmers market
Colorado,market,Salida Farmers Market,5th & F Street,Alpine Park Salida,,,,USDA certified farmers market
Colorado,market,South Fork Farmers Market,,Intersection of Hwy. 160 & 149 South Fork,,,,USDA certified farmers market
Colorado,market,"South Fork Farmers, Local Artisan and Antique Market",168 Four Seasons Drive mailing P.O. Box 14,South Fork,,,,USDA certified farmers market
Colorado,market,South Pearl Farmers Market,"South Pearl Farmers Market, 1400 + 1500 Blook Of S. Pearl St. (between Arkansas & Iowa)",Denver,,,,USDA certified farmers market
Colorado,market,South University Farmers Market,"South University Farmers Market, 5859 S University Blvd",Greenwood Village,,,,USDA certified farmers market
Colorado,market,Southlands Farmers' Market,6155 S. Main St.,Aurora,,,,USDA certified farmers market
Colorado,market,Stapleton Farmers' Market,,E. 29th Ave. & Roslyn St. Denver,,,,USDA certified farmers market
Colorado,market,Sunday Market on Main Street,4138 Main St,Unit A Unit A Timnath,,,,USDA certified farmers market
Colorado,market,Telluride Farmers' Market,S. Oak St.,Telluride,,,,USDA certified farmers market
Colorado,market,The Community Market at Naropa,,2130 Arapahoe Ave Boulder,,,,USDA certified farmers market
Colorado,market,The Saturday Market at Tagawa Gardens,,7711 S. Parker Rd. Centennial,,,,USDA certified farmers market
Colorado,market,Tiri's Garden Farmers Market,,1522 California Denver,,,,USDA certified farmers market
Colorado,market,Town of Mancos Farmers' Market,,117 N. Main Mancos,,,,USDA certified farmers market
Colorado,market,Trinidad Community Farmers Market,,836 Stonewall Ave Trinidad,,,,USDA certified farmers market
Colorado,market,Union Station Farmers Market,"Union Station Farmers Market, 1701 Wynkoop St.",Denver,,,,USDA certified farmers market
Colorado,market,Urban Farmers' Market,"16th St. Mall and Arapahoe,Skyline Park",Denver,,,,USDA certified farmers market
Colorado,market,Vail Farmers' Market,Meadow Dr. in Vail Village,Vail,,,,USDA certified farmers market
Colorado,market,Walsenburg Farmers Market,,400 Main Street Walsenburg,,,,USDA certified farmers market
Colorado,market,Wellington Farmers Market,,4th & Cleveland Wellington,,,,USDA certified farmers market
Colorado,market,Westcliffe Farmers Market,,315 Main Street Westcliffe,,,,USDA certified farmers market
Colorado,market,Williams Family Markets,,P.O. Box 2916 Parker,,,,USDA certified farmers market
Colorado,market,Woodland Park Farmers Market,"Woodland Park Farmers Market, S. West Street & Hwy 24",Woodland Park,,,,USDA certified farmers market
Colorado,market,Pueblo Farmers Market,1500 North Santa Fe Avenue,Pueblo,,,,Pueblo Farmers Market is an organization dedicated to curating a local food access point and communi
Colorado,market,Backyard Market in Black Forest,,6845 Shoup Road,,,,We are located in the heart of Black Forest at the corners of Shoup Rd and Black Forest Rd! Shop eve
Colorado,market,Delta Farmers Market,1001 Colorado 92,Delta,,,,The Delta Farmers Market has moved to its new larger home at the newly remodeled TruVu DriveIn in De
Colorado,market,Downtown Littleton Farmers Market,5671 South Nevada Street,Littleton,,,,"Littleton Q+ is dedicated to celebrating the vibrant tapestry of the Littleton, Colorado community."
Colorado,market,Fort Morgan Farmers Market,19592 East 8th Avenue,Fort Morgan,,,,"Established in 2023, the Fort Morgan Farmers Market honors the rich agricultural heritage of Northea"
